opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:1896","fleet_fuel_replacement","ev_charging_site_load","bill_savings|upfront_cost_reduction","residential_only","fuel|electric","annual_gallons|annual_fuel_cost|average_cost_per_gallon|vehicle_count","estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh|peak_kw|demand_charge_rate|time_of_use_periods","vehicle_count","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:1683","sales_or_property_tax_exemption","electric_usage_reduction","bill_savings|tax_benefit","agriculture_only","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:22731","grant_funding","","upfront_cost_reduction","unknown","none","project_cost_estimate","contractor_quote_amount","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:4831","gas_usage_reduction","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","gas|none","annual_therms|annual_gas_cost|average_cost_per_therm","monthly_therms|gas_rate_schedule|contractor_quote_amount|quote_date","equipment_category","per_unit","cost_per_unit","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:2671","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:3462","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_SCE_BUSINESS:sce_source_section:d049d8b8e95077d7:ca-clean-fuel-reward","project_cost_reduction_only","","upfront_cost_reduction","business_relevant","none","project_cost_estimate","contractor_quote_amount|quote_date","equipment_category","per_unit","benchmark_range","needs_equipment_details","high","false"
"SOURCE_SCE_BUSINESS:sce_source_section:d049d8b8e95077d7:charge-ready-program","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","business_relevant","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:3936","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:22299","fleet_fuel_replacement","ev_charging_site_load","bill_savings|upfront_cost_reduction","residential_only","fuel|electric","annual_gallons|annual_fuel_cost|average_cost_per_gallon|vehicle_count","estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh|peak_kw|demand_charge_rate|time_of_use_periods","vehicle_count","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:183","sales_or_property_tax_exemption","motor_vfd_efficiency|controls_building_automation","bill_savings|tax_benefit","mixed","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|peak_kw|demand_charge_rate|monthly_kwh|annual_therms|demand_charges|time_of_use_periods","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:1538","commercial_kitchen_equipment_efficiency","water_sewer_reduction","bill_savings|upfront_cost_reduction","business_relevant","electric|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:1625","hvac_electric_efficiency","project_cost_reduction_only","bill_savings|upfront_cost_reduction","business_relevant","electric|none","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|contractor_quote_amount|quote_date","equipment_category|square_footage","per_unit","cost_per_unit","needs_bill","high","false"
"SOURCE_DSIRE:dsire_program_id:5422","interconnection_or_grid_access_value","","policy_or_permitting","unknown","none","","utility_provider|service_address|rate_schedule","equipment_category|project_timing","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:4789","program_rule_value_only","","policy_or_permitting","residential_only","none","","service_address|utility_provider","project_timing","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:2288","refrigeration_electric_efficiency","electric_usage_reduction","bill_savings|upfront_cost_reduction","residential_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|delivery_charges|generation_charges","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:4713","whole_building_custom_efficiency","electric_usage_reduction|hvac_electric_efficiency|gas_usage_reduction|motor_vfd_efficiency|controls_building_automation","bill_savings|upfront_cost_reduction","mixed","electric|gas","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|peak_kw|demand_charge_rate|square_footage|monthly_kwh|rate_schedule|delivery_charges|generation_charges|demand_charges|monthly_therms|gas_rate_schedule|time_of_use_periods","project_cost_estimate|equipment_category","per_kwh_saved","benchmark_range","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:22184","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","high","true"
"SOURCE_DSIRE:dsire_program_id:3937","program_rule_value_only","","policy_or_permitting","residential_only","none","","service_address|utility_provider","project_timing","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:3752","whole_building_custom_efficiency","hvac_electric_efficiency|gas_usage_reduction|refrigeration_electric_efficiency|motor_vfd_efficiency|controls_building_automation|water_sewer_reduction","bill_savings|upfront_cost_reduction","residential_only","electric|gas|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|peak_kw|demand_charge_rate|square_footage|monthly_kwh|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule|time_of_use_periods|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","project_cost_estimate|equipment_category","per_kwh_saved","benchmark_range","needs_bill","low","true"
